id,name,category,base_cost,current_price,stock_level,hsn_code,gst_rate,image_url,barcode,updated_at
37,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Ip",Computers & Accessories,770.95,1279.47,24,85444220,18.0,https://m.media-amazon.com/images/I/3183iGEWksL._SX300_SY300_QL70_FMwebp_.jpg,8901234000036,2026-07-25 11:42:36.740309
38,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cabl",Computers & Accessories,179.16,304.47,65,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41P2EdQI1ZL._SY445_SX342_QL70_FMwebp_.jpg,8901234000037,2026-07-25 11:42:36.805776
39,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,29341.61,50233.61,27,84713010,18.0,https://m.media-amazon.com/images/I/51hQfTroMzL._SX300_SY300_QL70_FMwebp_.jpg,8901234000038,2026-07-25 11:42:36.736186
40,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C ",Computers & Accessories,841.71,1372.83,47,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41v5BQZzfAL._SX300_SY300_QL70_FMwebp_.jpg,8901234000039,2026-07-25 11:42:36.741404
41,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Met",Computers & Accessories,187.45,304.58,110,85444220,18.0,https://m.media-amazon.com/images/I/4101vlzySzL._SY300_SX300_QL70_FMwebp_.jpg,8901234000040,2026-07-25 11:42:36.783592
42,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,17718.26,28606.71,18,84713010,18.0,https://m.media-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_FMwebp_.jpg,8901234000041,2026-07-25 11:42:36.758603
43,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipa",Computers & Accessories,361.67,610.13,105,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41rB0DnVFmL._SX300_SY300_QL70_FMwebp_.jpg,8901234000042,2026-07-25 11:42:36.790786
44,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapt,Computers & Accessories,881.15,1452.4,105,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31EHCPHbSlL._SX300_SY300_QL70_FMwebp_.jpg,8901234000043,2026-07-25 11:42:36.790786
45,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Da",Computers & Accessories,50.19,93.46,14,85444220,18.0,https://m.media-amazon.com/images/I/31v7NnnAItL._SY445_SX342_QL70_FMwebp_.jpg,8901234000044,2026-07-25 11:42:36.779490
46,"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C U",Computers & Accessories,282.43,464.59,129,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41CnR1WhD3L._SX300_SY300_QL70_FMwebp_.jpg,8901234000045,2026-07-25 11:42:36.770933
47,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers & Accessories,443.51,720.91,26,85444220,18.0,https://m.media-amazon.com/images/I/31+NwZ8gb1L._SX300_SY300_.jpg,8901234000046,2026-07-25 11:42:36.738241
48,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,270.44,509.26,16,85444220,18.0,https://m.media-amazon.com/images/I/41bCxnHksnL._SY300_SX300_QL70_FMwebp_.jpg,8901234000047,2026-07-25 11:42:36.763770
49,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Origi,Electronics,341.72,563.11,18,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/21rBnbHkW9L._SX300_SY300_QL70_FMwebp_.jpg,8901234000048,2026-07-25 11:42:36.754285
50,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer Wit",Computers & Accessories,171.95,279.08,17,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31nrDWDT8+L._SX300_SY300_.jpg,8901234000049,2026-07-25 11:42:36.760658
51,TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High G,Computers & Accessories,1038.52,1708.63,99,85444220,18.0,https://m.media-amazon.com/images/I/216Q4FqmZVL._SX300_SY300_QL70_FMwebp_.jpg,8901234000050,2026-07-25 11:42:36.793895
52,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Fe,Computers & Accessories,162.36,262.9,24,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31iESA2h2gL._SY300_SX300_QL70_FMwebp_.jpg,8901234000051,2026-07-25 11:42:36.741404
53,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charg",Computers & Accessories,678.87,1046.57,78,85444220,18.0,https://m.media-amazon.com/images/I/31kw1RgU5yL._SX300_SY300_QL70_FMwebp_.jpg,8901234000052,2026-07-25 11:42:36.801066
54,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Electronics,6279.97,10726.06,127,84713010,18.0,https://m.media-amazon.com/images/I/418GxB04szL._SY300_SX300_QL70_FMwebp_.jpg,8901234000053,2026-07-25 11:42:36.773278
55,"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports Q",Computers & Accessories,176.06,296.4,78,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41rbKciLrcL._SX300_SY300_QL70_FMwebp_.jpg,8901234000054,2026-07-25 11:42:36.799020
56,Tata Sky Universal Remote,Electronics,204.52,345.12,108,84713010,18.0,https://m.media-amazon.com/images/I/315GdnF+LcL._SY300_SX300_.jpg,8901234000055,2026-07-25 11:42:36.789759
57,TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supp,Computers & Accessories,575.21,974.12,84,85444220,18.0,https://m.media-amazon.com/images/I/41jxZkzNcnL._SX300_SY300_QL70_FMwebp_.jpg,8901234000056,2026-07-25 11:42:36.798003
58,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,14108.22,24039.91,30,84713010,18.0,https://m.media-amazon.com/images/I/512YHGuR4RL._SX300_SY300_QL70_FMwebp_.jpg,8901234000057,2026-07-25 11:42:36.734138
59,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 ",Computers & Accessories,309.33,527.67,28,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/313uqx3djjL._SX300_SY300_QL70_FMwebp_.jpg,8901234000058,2026-07-25 11:42:36.735160
60,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey",Computers & Accessories,132.32,224.09,17,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31pQZsxPR4L._SX300_SY300_QL70_FMwebp_.jpg,8901234000059,2026-07-25 11:42:36.759631
61,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",Electronics,156.06,265.14,101,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41v00lhhdbL._SX300_SY300_QL70_FMwebp_.jpg,8901234000060,2026-07-25 11:42:36.791840
62,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),Electronics,28757.97,47845.64,88,84713010,18.0,https://m.media-amazon.com/images/I/41Tz1YnJkoL._SY300_SX300_QL70_FMwebp_.jpg,8901234000061,2026-07-25 11:42:36.796977
63,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,Computers & Accessories,119.99,202.43,22,85444220,18.0,https://m.media-amazon.com/images/I/310WOJIrwjL._SX300_SY300_QL70_FMwebp_.jpg,8901234000062,2026-07-25 11:42:36.744484
64,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,Computers & Accessories,295.14,501.22,20,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/414y0iu5NUL._SX300_SY300_QL70_FMwebp_.jpg,8901234000063,2026-07-25 11:42:36.751197
65,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),Electronics,12353.05,22819.15,13,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41611VFTGwL._SY300_SX300_QL70_FMwebp_.jpg,8901234000064,2026-07-25 11:42:36.781553
66,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,264.76,440.9,65,85444220,18.0,https://m.media-amazon.com/images/I/41eJqkFjCRL._SY300_SX300_QL70_FMwebp_.jpg,8901234000065,2026-07-25 11:42:36.806826
67,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangl",Computers & Accessories,233.58,373.72,94,85444220,18.0,https://m.media-amazon.com/images/I/41x3iKbD-+L._SX342_SY445_.jpg,8901234000066,2026-07-25 11:42:36.793895
68,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),Electronics,7178.24,12055.27,93,84713010,18.0,https://m.media-amazon.com/images/I/51FicDnawaL._SY300_SX300_QL70_FMwebp_.jpg,8901234000067,2026-07-25 11:42:36.794923
69,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma ",Electronics,1418.39,2463.04,14,84713010,18.0,https://m.media-amazon.com/images/I/41+mgWz7knL._SX300_SY300_.jpg,8901234000068,2026-07-25 11:42:36.780524
70,Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters),Computers & Accessories,190.7,361.72,13,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31-BRsjrvDL._SY300_SX300_QL70_FMwebp_.jpg,8901234000069,2026-07-25 11:42:36.786649
71,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braid",Computers & Accessories,301.24,506.83,78,85444220,18.0,https://m.media-amazon.com/images/I/41gztmbiIgL._SX300_SY300_QL70_FMwebp_.jpg,8901234000070,2026-07-25 11:42:36.800048
72,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatib",Computers & Accessories,309.66,530.0,19,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41SNaWjuZWL._SX300_SY300_QL70_FMwebp_.jpg,8901234000071,2026-07-25 11:42:36.753247
73,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),Electronics,23642.17,39051.65,56,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41w1didcczL._SY300_SX300_QL70_FMwebp_.jpg,8901234000072,2026-07-25 11:42:36.752221
74,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfe",Computers & Accessories,102.44,170.77,23,85444220,18.0,https://m.media-amazon.com/images/I/41gFqSHngyL._SX300_SY300_QL70_FMwebp_.jpg,8901234000073,2026-07-25 11:42:36.745510
75,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480",Computers & Accessories,338.19,570.95,65,85444220,18.0,https://m.media-amazon.com/images/I/41jlh3c7UbL._SX300_SY300_QL70_FMwebp_.jpg,8901234000074,2026-07-25 11:42:36.807855
76,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Tec",Computers & Accessories,176.93,322.9,16,85444220,18.0,https://m.media-amazon.com/images/I/31x3IUfMneL._SX300_SY300_QL70_FMwebp_.jpg,8901234000075,2026-07-25 11:42:36.762742
77,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wirel",Computers & Accessories,153.46,248.05,20,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31l-eZHBfKL._SX300_SY300_QL70_FMwebp_.jpg,8901234000076,2026-07-25 11:42:36.748123
78,TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),Electronics,9842.22,15913.48,126,84713010,18.0,https://m.media-amazon.com/images/I/51ow6bmLWIL._SY300_SX300_QL70_FMwebp_.jpg,8901234000077,2026-07-25 11:42:36.775330
79,SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11,Computers & Accessories,178.35,305.53,22,85444220,18.0,https://m.media-amazon.com/images/I/41KmCJuybRL._SX300_SY300_QL70_FMwebp_.jpg,8901234000078,2026-07-25 11:42:36.742431
80,Firestick Remote,Electronics,1259.14,2132.29,17,84713010,18.0,https://m.media-amazon.com/images/I/31C4z2M8TiL._SX300_SY300_QL70_FMwebp_.jpg,8901234000079,2026-07-25 11:42:36.761714
81,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",Computers & Accessories,347.81,644.82,13,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41xmv3WPs7L._SX300_SY300_QL70_FMwebp_.jpg,8901234000080,2026-07-25 11:42:36.787676
82,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Ca",Computers & Accessories,117.93,200.9,26,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31DDGpem3OL._SY445_SX342_QL70_FMwebp_.jpg,8901234000081,2026-07-25 11:42:36.747086
83,SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),Electronics,6237.94,10275.09,18,84713010,18.0,https://m.media-amazon.com/images/I/41M9BBMSUdL._SX300_SY300_QL70_FMwebp_.jpg,8901234000082,2026-07-25 11:42:36.756340
84,"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",Computers & Accessories,263.29,493.76,13,85444220,18.0,https://m.media-amazon.com/images/I/412XfBAEikL._SX300_SY300_QL70_FMwebp_.jpg,8901234000083,2026-07-25 11:42:36.786649
85,Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Gala,Computers & Accessories,279.35,463.43,25,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41J6oGU8w5L._SX300_SY300_QL70_FMwebp_.jpg,8901234000084,2026-07-25 11:42:36.739281
86,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),Electronics,27018.16,43215.12,67,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51ovMTXv9RL._SX300_SY300_QL70_FMwebp_.jpg,8901234000085,2026-07-25 11:42:36.803114
87,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),Electronics,23913.02,43485.71,14,84713010,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41imW51RweL._SY300_SX300_QL70_FMwebp_.jpg,8901234000086,2026-07-25 11:42:36.768882
88,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),Electronics,26340.22,44762.39,126,84713010,18.0,https://m.media-amazon.com/images/I/41RVzq6GiIL._SY300_SX300_QL70_FMwebp_.jpg,8901234000087,2026-07-25 11:42:36.776363
89,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Dat",Computers & Accessories,177.73,291.37,19,85444220,18.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/3135yilFsfL._SY445_SX342_QL70_FMwebp_.jpg,8901234000088,2026-07-25 11:42:36.752221
90,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad ",Computers & Accessories,574.4,937.58,22,85444220,18.0,https://m.media-amazon.com/images/I/412fvb7k2FL._SX300_SY300_QL70_FMwebp_.jpg,8901234000089,2026-07-25 11:42:36.743456
