id,merchant_name,merchant_gstin,invoice_no,date,category,total_amount,gst_rate,gst_amount,cgst,sgst,igst,itc_eligible
25,Google Ads India,,EXP-25,2022-09-01T17:11:30.171307,Marketing,3162.95,0.0,0.0,0.0,0.0,0.0,False
26,Local Handyman Services,,EXP-26,2022-09-05T09:26:30.171307,Repairs & Maintenance,2003.95,0.0,0.0,0.0,0.0,0.0,False
27,Local Handyman Services,,EXP-27,2022-09-08T11:09:30.171307,Repairs & Maintenance,1618.81,0.0,0.0,0.0,0.0,0.0,False
28,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-9-2022,2022-09-10T14:00:00.171307,Electricity Bill,6578.23,18.0,1003.46,501.73,501.73,0.0,True
29,Printech Solutions,,EXP-29,2022-09-10T09:09:30.171307,Printing & Stationery,223.1,0.0,0.0,0.0,0.0,0.0,False
30,Printech Solutions,,EXP-30,2022-09-11T13:03:30.171307,Printing & Stationery,745.05,0.0,0.0,0.0,0.0,0.0,False
31,Local Handyman Services,,EXP-31,2022-09-13T12:09:30.171307,Repairs & Maintenance,1007.28,0.0,0.0,0.0,0.0,0.0,False
32,City Logistics,,EXP-32,2022-09-16T09:03:30.171307,Transportation & Fuel,1531.82,0.0,0.0,0.0,0.0,0.0,False
33,City Logistics,,EXP-33,2022-09-19T16:51:30.171307,Transportation & Fuel,1427.99,0.0,0.0,0.0,0.0,0.0,False
34,Printech Solutions,,EXP-34,2022-09-25T16:57:30.171307,Printing & Stationery,317.19,0.0,0.0,0.0,0.0,0.0,False
35,Printech Solutions,,EXP-35,2022-09-26T09:11:30.171307,Printing & Stationery,334.73,0.0,0.0,0.0,0.0,0.0,False
36,Google Ads India,,EXP-36,2022-09-28T13:01:30.171307,Marketing,2272.77,0.0,0.0,0.0,0.0,0.0,False
37,Printech Solutions,,EXP-37,2022-09-29T12:27:30.171307,Printing & Stationery,510.52,0.0,0.0,0.0,0.0,0.0,False
38,Prime Properties Ltd,,RENT-10-2022,2022-10-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
39,Store Employees Salaries,,SAL-10-2022,2022-10-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
40,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-10-2022,2022-10-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
41,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-10-2022,2022-10-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
42,Google Ads India,,EXP-42,2022-10-01T18:50:30.171307,Marketing,2900.98,0.0,0.0,0.0,0.0,0.0,False
43,Local Handyman Services,,EXP-43,2022-10-05T11:46:30.171307,Repairs & Maintenance,654.92,0.0,0.0,0.0,0.0,0.0,False
44,Printech Solutions,,EXP-44,2022-10-06T09:13:30.171307,Printing & Stationery,482.8,0.0,0.0,0.0,0.0,0.0,False
45,HDFC Bank Corp,,EXP-45,2022-10-09T12:57:30.171307,Banking Charges,196.7,0.0,0.0,0.0,0.0,0.0,False
46,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-10-2022,2022-10-10T14:00:00.171307,Electricity Bill,7412.38,18.0,1130.7,565.35,565.35,0.0,True
47,HDFC Bank Corp,,EXP-47,2022-10-10T14:40:30.171307,Banking Charges,115.99,0.0,0.0,0.0,0.0,0.0,False
48,Printech Solutions,,EXP-48,2022-10-12T09:55:30.171307,Printing & Stationery,734.61,0.0,0.0,0.0,0.0,0.0,False
49,Local Handyman Services,,EXP-49,2022-10-13T17:08:30.171307,Repairs & Maintenance,1719.57,0.0,0.0,0.0,0.0,0.0,False
50,Local Handyman Services,,EXP-50,2022-10-14T10:31:30.171307,Repairs & Maintenance,2164.68,0.0,0.0,0.0,0.0,0.0,False
51,Printech Solutions,,EXP-51,2022-10-16T13:19:30.171307,Printing & Stationery,374.31,0.0,0.0,0.0,0.0,0.0,False
52,City Logistics,,EXP-52,2022-10-20T09:15:30.171307,Transportation & Fuel,1479.05,0.0,0.0,0.0,0.0,0.0,False
53,Speedy Delivery Partners,,EXP-53,2022-10-21T13:13:30.171307,Delivery Charges,988.54,0.0,0.0,0.0,0.0,0.0,False
54,Local Handyman Services,,EXP-54,2022-10-22T13:52:30.171307,Repairs & Maintenance,357.99,0.0,0.0,0.0,0.0,0.0,False
55,Local Handyman Services,,EXP-55,2022-10-23T16:30:30.171307,Repairs & Maintenance,940.39,0.0,0.0,0.0,0.0,0.0,False
56,Speedy Delivery Partners,,EXP-56,2022-10-27T10:36:30.171307,Delivery Charges,696.71,0.0,0.0,0.0,0.0,0.0,False
57,HDFC Bank Corp,,EXP-57,2022-10-28T16:07:30.171307,Banking Charges,377.03,0.0,0.0,0.0,0.0,0.0,False
58,Local Carton Wholesalers,,EXP-58,2022-10-31T12:53:30.171307,Packaging Material,1143.72,0.0,0.0,0.0,0.0,0.0,False
59,Prime Properties Ltd,,RENT-11-2022,2022-11-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
60,Store Employees Salaries,,SAL-11-2022,2022-11-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
61,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-11-2022,2022-11-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
62,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-11-2022,2022-11-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
63,Local Handyman Services,,EXP-63,2022-11-04T18:53:30.171307,Repairs & Maintenance,1991.74,0.0,0.0,0.0,0.0,0.0,False
64,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-11-2022,2022-11-10T14:00:00.171307,Electricity Bill,8462.05,18.0,1290.82,645.41,645.41,0.0,True
65,City Logistics,,EXP-65,2022-11-12T15:51:30.171307,Transportation & Fuel,1493.74,0.0,0.0,0.0,0.0,0.0,False
66,Local Carton Wholesalers,,EXP-66,2022-11-24T16:11:30.171307,Packaging Material,1418.11,0.0,0.0,0.0,0.0,0.0,False
67,Printech Solutions,,EXP-67,2022-11-25T14:03:30.171307,Printing & Stationery,558.57,0.0,0.0,0.0,0.0,0.0,False
68,Speedy Delivery Partners,,EXP-68,2022-11-28T13:43:30.171307,Delivery Charges,822.11,0.0,0.0,0.0,0.0,0.0,False
69,Prime Properties Ltd,,RENT-12-2022,2022-12-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
70,Store Employees Salaries,,SAL-12-2022,2022-12-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
71,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-12-2022,2022-12-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
72,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-12-2022,2022-12-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
73,Local Carton Wholesalers,,EXP-73,2022-12-04T12:50:30.171307,Packaging Material,697.29,0.0,0.0,0.0,0.0,0.0,False
74,Local Carton Wholesalers,,EXP-74,2022-12-05T11:59:30.171307,Packaging Material,1379.8,0.0,0.0,0.0,0.0,0.0,False
75,Local Carton Wholesalers,,EXP-75,2022-12-09T15:43:30.171307,Packaging Material,450.65,0.0,0.0,0.0,0.0,0.0,False
76,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-12-2022,2022-12-10T14:00:00.171307,Electricity Bill,9272.38,18.0,1414.43,707.22,707.22,0.0,True
77,Local Handyman Services,,EXP-77,2022-12-12T16:39:30.171307,Repairs & Maintenance,329.84,0.0,0.0,0.0,0.0,0.0,False
78,Local Carton Wholesalers,,EXP-78,2022-12-19T14:08:30.171307,Packaging Material,897.18,0.0,0.0,0.0,0.0,0.0,False
79,Local Handyman Services,,EXP-79,2022-12-22T16:40:30.171307,Repairs & Maintenance,1761.65,0.0,0.0,0.0,0.0,0.0,False
80,HDFC Bank Corp,,EXP-80,2022-12-24T17:30:30.171307,Banking Charges,468.92,0.0,0.0,0.0,0.0,0.0,False
81,Printech Solutions,,EXP-81,2022-12-30T14:10:30.171307,Printing & Stationery,532.99,0.0,0.0,0.0,0.0,0.0,False
82,Prime Properties Ltd,,RENT-1-2023,2023-01-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
83,Store Employees Salaries,,SAL-1-2023,2023-01-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
84,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-1-2023,2023-01-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
85,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-1-2023,2023-01-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
86,Local Handyman Services,,EXP-86,2023-01-02T17:55:30.171307,Repairs & Maintenance,1235.37,0.0,0.0,0.0,0.0,0.0,False
87,Speedy Delivery Partners,,EXP-87,2023-01-06T09:49:30.171307,Delivery Charges,825.16,0.0,0.0,0.0,0.0,0.0,False
88,Printech Solutions,,EXP-88,2023-01-09T11:32:30.171307,Printing & Stationery,474.29,0.0,0.0,0.0,0.0,0.0,False
89,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-1-2023,2023-01-10T14:00:00.171307,Electricity Bill,9103.98,18.0,1388.74,694.37,694.37,0.0,True
90,Local Handyman Services,,EXP-90,2023-01-10T18:49:30.171307,Repairs & Maintenance,2393.71,0.0,0.0,0.0,0.0,0.0,False
91,Speedy Delivery Partners,,EXP-91,2023-01-11T12:01:30.171307,Delivery Charges,688.73,0.0,0.0,0.0,0.0,0.0,False
92,Speedy Delivery Partners,,EXP-92,2023-01-15T09:51:30.171307,Delivery Charges,588.6,0.0,0.0,0.0,0.0,0.0,False
93,Local Handyman Services,,EXP-93,2023-01-17T18:22:30.171307,Repairs & Maintenance,2197.29,0.0,0.0,0.0,0.0,0.0,False
94,Printech Solutions,,EXP-94,2023-01-18T12:27:30.171307,Printing & Stationery,748.29,0.0,0.0,0.0,0.0,0.0,False
95,Printech Solutions,,EXP-95,2023-01-19T09:09:30.171307,Printing & Stationery,208.74,0.0,0.0,0.0,0.0,0.0,False
96,City Logistics,,EXP-96,2023-01-20T14:52:30.171307,Transportation & Fuel,768.22,0.0,0.0,0.0,0.0,0.0,False
97,Speedy Delivery Partners,,EXP-97,2023-01-27T16:10:30.171307,Delivery Charges,865.11,0.0,0.0,0.0,0.0,0.0,False
98,Speedy Delivery Partners,,EXP-98,2023-01-28T11:09:30.171307,Delivery Charges,691.01,0.0,0.0,0.0,0.0,0.0,False
99,Local Carton Wholesalers,,EXP-99,2023-01-31T18:40:30.171307,Packaging Material,1320.15,0.0,0.0,0.0,0.0,0.0,False
100,Prime Properties Ltd,,RENT-2-2023,2023-02-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
101,Store Employees Salaries,,SAL-2-2023,2023-02-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
102,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-2-2023,2023-02-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
103,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-2-2023,2023-02-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
104,Google Ads India,,EXP-104,2023-02-01T11:47:30.171307,Marketing,4368.88,0.0,0.0,0.0,0.0,0.0,False
105,Speedy Delivery Partners,,EXP-105,2023-02-03T09:06:30.171307,Delivery Charges,464.28,0.0,0.0,0.0,0.0,0.0,False
106,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-2-2023,2023-02-10T14:00:00.171307,Electricity Bill,7702.38,18.0,1174.94,587.47,587.47,0.0,True
107,Local Carton Wholesalers,,EXP-107,2023-02-11T14:52:30.171307,Packaging Material,1209.32,0.0,0.0,0.0,0.0,0.0,False
108,City Logistics,,EXP-108,2023-02-12T14:12:30.171307,Transportation & Fuel,534.41,0.0,0.0,0.0,0.0,0.0,False
109,Local Handyman Services,,EXP-109,2023-02-16T09:02:30.171307,Repairs & Maintenance,684.58,0.0,0.0,0.0,0.0,0.0,False
110,Google Ads India,,EXP-110,2023-02-19T12:04:30.171307,Marketing,1605.2,0.0,0.0,0.0,0.0,0.0,False
111,Local Handyman Services,,EXP-111,2023-02-20T17:46:30.171307,Repairs & Maintenance,880.46,0.0,0.0,0.0,0.0,0.0,False
112,Local Carton Wholesalers,,EXP-112,2023-02-24T18:53:30.171307,Packaging Material,1322.66,0.0,0.0,0.0,0.0,0.0,False
113,HDFC Bank Corp,,EXP-113,2023-02-27T13:47:30.171307,Banking Charges,292.49,0.0,0.0,0.0,0.0,0.0,False
114,Prime Properties Ltd,,RENT-3-2023,2023-03-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
115,Store Employees Salaries,,SAL-3-2023,2023-03-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
116,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-3-2023,2023-03-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
117,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-3-2023,2023-03-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
118,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-3-2023,2023-03-10T14:00:00.171307,Electricity Bill,7823.88,18.0,1193.47,596.74,596.74,0.0,True
119,Local Handyman Services,,EXP-119,2023-03-15T13:42:30.171307,Repairs & Maintenance,951.11,0.0,0.0,0.0,0.0,0.0,False
120,Speedy Delivery Partners,,EXP-120,2023-03-16T12:13:30.171307,Delivery Charges,470.71,0.0,0.0,0.0,0.0,0.0,False
121,Google Ads India,,EXP-121,2023-03-19T11:17:30.171307,Marketing,3429.88,0.0,0.0,0.0,0.0,0.0,False
122,Printech Solutions,,EXP-122,2023-03-21T17:36:30.171307,Printing & Stationery,362.2,0.0,0.0,0.0,0.0,0.0,False
123,Speedy Delivery Partners,,EXP-123,2023-03-22T10:46:30.171307,Delivery Charges,747.18,0.0,0.0,0.0,0.0,0.0,False
124,HDFC Bank Corp,,EXP-124,2023-03-27T10:25:30.171307,Banking Charges,415.09,0.0,0.0,0.0,0.0,0.0,False
125,Local Carton Wholesalers,,EXP-125,2023-03-28T17:56:30.171307,Packaging Material,780.25,0.0,0.0,0.0,0.0,0.0,False
126,Local Handyman Services,,EXP-126,2023-03-31T15:27:30.171307,Repairs & Maintenance,1376.5,0.0,0.0,0.0,0.0,0.0,False
127,Prime Properties Ltd,,RENT-4-2023,2023-04-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
128,Store Employees Salaries,,SAL-4-2023,2023-04-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
129,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-4-2023,2023-04-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
130,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-4-2023,2023-04-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
131,Local Carton Wholesalers,,EXP-131,2023-04-01T14:50:30.171307,Packaging Material,1037.63,0.0,0.0,0.0,0.0,0.0,False
132,HDFC Bank Corp,,EXP-132,2023-04-03T12:11:30.171307,Banking Charges,174.9,0.0,0.0,0.0,0.0,0.0,False
133,City Logistics,,EXP-133,2023-04-04T13:32:30.171307,Transportation & Fuel,515.63,0.0,0.0,0.0,0.0,0.0,False
134,Speedy Delivery Partners,,EXP-134,2023-04-08T18:42:30.171307,Delivery Charges,1051.8,0.0,0.0,0.0,0.0,0.0,False
135,Google Ads India,,EXP-135,2023-04-09T16:26:30.171307,Marketing,2636.28,0.0,0.0,0.0,0.0,0.0,False
136,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-4-2023,2023-04-10T14:00:00.171307,Electricity Bill,8501.14,18.0,1296.78,648.39,648.39,0.0,True
137,HDFC Bank Corp,,EXP-137,2023-04-14T13:36:30.171307,Banking Charges,295.91,0.0,0.0,0.0,0.0,0.0,False
138,Speedy Delivery Partners,,EXP-138,2023-04-20T16:42:30.171307,Delivery Charges,410.52,0.0,0.0,0.0,0.0,0.0,False
139,Local Carton Wholesalers,,EXP-139,2023-04-23T14:33:30.171307,Packaging Material,477.72,0.0,0.0,0.0,0.0,0.0,False
140,HDFC Bank Corp,,EXP-140,2023-04-24T18:57:30.171307,Banking Charges,237.62,0.0,0.0,0.0,0.0,0.0,False
141,City Logistics,,EXP-141,2023-04-25T15:06:30.171307,Transportation & Fuel,1424.41,0.0,0.0,0.0,0.0,0.0,False
142,City Logistics,,EXP-142,2023-04-28T12:39:30.171307,Transportation & Fuel,1254.53,0.0,0.0,0.0,0.0,0.0,False
143,Prime Properties Ltd,,RENT-5-2023,2023-05-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
144,Store Employees Salaries,,SAL-5-2023,2023-05-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
145,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-5-2023,2023-05-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
146,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-5-2023,2023-05-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
147,City Logistics,,EXP-147,2023-05-03T11:45:30.171307,Transportation & Fuel,1589.33,0.0,0.0,0.0,0.0,0.0,False
148,Speedy Delivery Partners,,EXP-148,2023-05-04T11:14:30.171307,Delivery Charges,587.89,0.0,0.0,0.0,0.0,0.0,False
149,HDFC Bank Corp,,EXP-149,2023-05-06T15:24:30.171307,Banking Charges,318.41,0.0,0.0,0.0,0.0,0.0,False
150,Google Ads India,,EXP-150,2023-05-09T09:49:30.171307,Marketing,1805.38,0.0,0.0,0.0,0.0,0.0,False
151,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-5-2023,2023-05-10T14:00:00.171307,Electricity Bill,6724.73,18.0,1025.81,512.9,512.9,0.0,True
152,City Logistics,,EXP-152,2023-05-14T17:23:30.171307,Transportation & Fuel,1091.17,0.0,0.0,0.0,0.0,0.0,False
153,Local Carton Wholesalers,,EXP-153,2023-05-16T15:43:30.171307,Packaging Material,470.23,0.0,0.0,0.0,0.0,0.0,False
154,Printech Solutions,,EXP-154,2023-05-17T17:29:30.171307,Printing & Stationery,316.77,0.0,0.0,0.0,0.0,0.0,False
155,HDFC Bank Corp,,EXP-155,2023-05-24T12:26:30.171307,Banking Charges,149.63,0.0,0.0,0.0,0.0,0.0,False
156,Prime Properties Ltd,,RENT-6-2023,2023-06-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
157,Store Employees Salaries,,SAL-6-2023,2023-06-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
158,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-6-2023,2023-06-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
159,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-6-2023,2023-06-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
160,HDFC Bank Corp,,EXP-160,2023-06-02T11:30:30.171307,Banking Charges,229.47,0.0,0.0,0.0,0.0,0.0,False
161,HDFC Bank Corp,,EXP-161,2023-06-04T10:44:30.171307,Banking Charges,442.02,0.0,0.0,0.0,0.0,0.0,False
162,Printech Solutions,,EXP-162,2023-06-05T12:35:30.171307,Printing & Stationery,774.8,0.0,0.0,0.0,0.0,0.0,False
163,Local Carton Wholesalers,,EXP-163,2023-06-07T12:09:30.171307,Packaging Material,536.73,0.0,0.0,0.0,0.0,0.0,False
164,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-6-2023,2023-06-10T14:00:00.171307,Electricity Bill,6322.98,18.0,964.52,482.26,482.26,0.0,True
165,HDFC Bank Corp,,EXP-165,2023-06-12T12:52:30.171307,Banking Charges,465.37,0.0,0.0,0.0,0.0,0.0,False
166,Speedy Delivery Partners,,EXP-166,2023-06-13T14:27:30.171307,Delivery Charges,1121.58,0.0,0.0,0.0,0.0,0.0,False
167,Speedy Delivery Partners,,EXP-167,2023-06-14T16:55:30.171307,Delivery Charges,719.12,0.0,0.0,0.0,0.0,0.0,False
168,HDFC Bank Corp,,EXP-168,2023-06-16T12:46:30.171307,Banking Charges,353.6,0.0,0.0,0.0,0.0,0.0,False
169,Speedy Delivery Partners,,EXP-169,2023-06-24T09:10:30.171307,Delivery Charges,1098.7,0.0,0.0,0.0,0.0,0.0,False
170,Speedy Delivery Partners,,EXP-170,2023-06-25T14:59:30.171307,Delivery Charges,580.41,0.0,0.0,0.0,0.0,0.0,False
171,HDFC Bank Corp,,EXP-171,2023-06-28T15:01:30.171307,Banking Charges,297.06,0.0,0.0,0.0,0.0,0.0,False
172,Google Ads India,,EXP-172,2023-06-29T15:23:30.171307,Marketing,1027.04,0.0,0.0,0.0,0.0,0.0,False
173,Prime Properties Ltd,,RENT-7-2023,2023-07-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
174,Store Employees Salaries,,SAL-7-2023,2023-07-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
175,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-7-2023,2023-07-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
176,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-7-2023,2023-07-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
177,Speedy Delivery Partners,,EXP-177,2023-07-02T09:33:30.171307,Delivery Charges,640.1,0.0,0.0,0.0,0.0,0.0,False
178,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-7-2023,2023-07-10T14:00:00.171307,Electricity Bill,7084.41,18.0,1080.67,540.34,540.34,0.0,True
179,City Logistics,,EXP-179,2023-07-12T18:48:30.171307,Transportation & Fuel,608.7,0.0,0.0,0.0,0.0,0.0,False
180,Google Ads India,,EXP-180,2023-07-15T12:06:30.171307,Marketing,3495.95,0.0,0.0,0.0,0.0,0.0,False
181,Printech Solutions,,EXP-181,2023-07-16T17:51:30.171307,Printing & Stationery,775.2,0.0,0.0,0.0,0.0,0.0,False
182,Local Handyman Services,,EXP-182,2023-07-17T18:06:30.171307,Repairs & Maintenance,1492.97,0.0,0.0,0.0,0.0,0.0,False
183,Speedy Delivery Partners,,EXP-183,2023-07-21T18:47:30.171307,Delivery Charges,379.27,0.0,0.0,0.0,0.0,0.0,False
184,Local Carton Wholesalers,,EXP-184,2023-07-22T11:21:30.171307,Packaging Material,937.53,0.0,0.0,0.0,0.0,0.0,False
185,Google Ads India,,EXP-185,2023-07-23T10:01:30.171307,Marketing,3164.37,0.0,0.0,0.0,0.0,0.0,False
186,Local Carton Wholesalers,,EXP-186,2023-07-24T10:42:30.171307,Packaging Material,833.43,0.0,0.0,0.0,0.0,0.0,False
187,Printech Solutions,,EXP-187,2023-07-27T18:43:30.171307,Printing & Stationery,573.99,0.0,0.0,0.0,0.0,0.0,False
188,City Logistics,,EXP-188,2023-07-29T09:58:30.171307,Transportation & Fuel,552.42,0.0,0.0,0.0,0.0,0.0,False
189,Prime Properties Ltd,,RENT-8-2023,2023-08-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
190,Store Employees Salaries,,SAL-8-2023,2023-08-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
