id,supplier_name,supplier_gstin,invoice_no,date,total_amount,gst_amount,cgst,sgst,igst,itc_eligible,payment_status,verification_status,verified_at,verified_by,discrepancy_count
14,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2302-926,2023-02-20T09:00:00.171307,3495216.850000001,629139.03,314569.52,314569.52,0.0,True,Paid,Verified,2023-02-20T11:00:00.171307,Manager Admin,0
15,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2303-579,2023-03-05T09:00:00.171307,1599059.8199999998,287830.77,143915.39,143915.39,0.0,True,Pending,Discrepancy Detected,2023-03-05T11:00:00.171307,Manager Admin,0
16,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2303-131,2023-03-20T09:00:00.171307,2584955.74,465292.03,232646.02,232646.02,0.0,True,Paid,Verified,2023-03-20T11:00:00.171307,Manager Admin,0
17,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2304-703,2023-04-05T09:00:00.171307,703109.61,126559.73,63279.86,63279.86,0.0,True,Pending,Verified,2023-04-05T11:00:00.171307,Manager Admin,0
18,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2304-773,2023-04-20T09:00:00.171307,2397697.2099999995,431585.5,215792.75,215792.75,0.0,True,Paid,Verified,2023-04-20T11:00:00.171307,Manager Admin,0
19,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2305-111,2023-05-05T09:00:00.171307,498476.42,89725.76,44862.88,44862.88,0.0,True,Paid,Verified,2023-05-05T11:00:00.171307,Manager Admin,0
20,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2305-361,2023-05-20T09:00:00.171307,2469271.66,444468.9,222234.45,222234.45,0.0,True,Paid,Verified,2023-05-20T11:00:00.171307,Manager Admin,0
21,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2306-904,2023-06-05T09:00:00.171307,2550751.0300000007,459135.19,229567.6,229567.6,0.0,True,Paid,Verified,2023-06-05T11:00:00.171307,Manager Admin,0
22,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2306-700,2023-06-20T09:00:00.171307,3432020.96,617763.77,308881.89,308881.89,0.0,True,Paid,Verified,2023-06-20T11:00:00.171307,Manager Admin,0
23,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2307-331,2023-07-05T09:00:00.171307,4716194.06,848914.93,424457.47,424457.47,0.0,True,Paid,Verified,2023-07-05T11:00:00.171307,Manager Admin,0
24,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2307-804,2023-07-20T09:00:00.171307,1411062.7799999998,253991.3,126995.65,126995.65,0.0,True,Pending,Verified,2023-07-20T11:00:00.171307,Manager Admin,0
25,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2308-150,2023-08-05T09:00:00.171307,2111111.96,380000.15,190000.08,190000.08,0.0,True,Paid,Verified,2023-08-05T11:00:00.171307,Manager Admin,0
26,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2308-838,2023-08-20T09:00:00.171307,2084349.64,375182.94,187591.47,187591.47,0.0,True,Paid,Verified,2023-08-20T11:00:00.171307,Manager Admin,0
27,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2309-557,2023-09-05T09:00:00.171307,1764848.2400000002,317672.68,158836.34,158836.34,0.0,True,Paid,Verified,2023-09-05T11:00:00.171307,Manager Admin,0
28,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2309-118,2023-09-20T09:00:00.171307,604292.15,108772.59,54386.29,54386.29,0.0,True,Paid,Discrepancy Detected,2023-09-20T11:00:00.171307,Manager Admin,0
29,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2310-623,2023-10-05T09:00:00.171307,2526608.99,454789.62,227394.81,227394.81,0.0,True,Paid,Verified,2023-10-05T11:00:00.171307,Manager Admin,0
30,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2310-389,2023-10-20T09:00:00.171307,1414366.1500000004,254585.91,127292.96,127292.96,0.0,True,Paid,Verified,2023-10-20T11:00:00.171307,Manager Admin,0
31,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2311-638,2023-11-05T09:00:00.171307,681067.5299999999,122592.16,61296.08,61296.08,0.0,True,Paid,Verified,2023-11-05T11:00:00.171307,Manager Admin,0
32,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2311-647,2023-11-20T09:00:00.171307,2033565.8,366041.84,183020.92,183020.92,0.0,True,Paid,Verified,2023-11-20T11:00:00.171307,Manager Admin,0
33,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2312-390,2023-12-05T09:00:00.171307,1228788.59,221181.95,110590.98,110590.98,0.0,True,Paid,Verified,2023-12-05T11:00:00.171307,Manager Admin,0
34,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2312-525,2023-12-20T09:00:00.171307,1086929.1,195647.24,97823.62,97823.62,0.0,True,Paid,Verified,2023-12-20T11:00:00.171307,Manager Admin,0
35,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2401-718,2024-01-05T09:00:00.171307,1764319.47,317577.5,158788.75,158788.75,0.0,True,Paid,Verified,2024-01-05T11:00:00.171307,Manager Admin,0
36,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2401-769,2024-01-20T09:00:00.171307,4955481.450000001,891986.66,445993.33,445993.33,0.0,True,Paid,Verified,2024-01-20T11:00:00.171307,Manager Admin,0
37,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2402-953,2024-02-05T09:00:00.171307,1290785.49,232341.39,116170.7,116170.7,0.0,True,Paid,Verified,2024-02-05T11:00:00.171307,Manager Admin,0
38,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2402-182,2024-02-20T09:00:00.171307,2017827.6800000002,363208.98,181604.49,181604.49,0.0,True,Paid,Verified,2024-02-20T11:00:00.171307,Manager Admin,0
39,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2403-318,2024-03-05T09:00:00.171307,1189909.6,214183.73,107091.87,107091.87,0.0,True,Pending,Verified,2024-03-05T11:00:00.171307,Manager Admin,0
40,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2403-505,2024-03-20T09:00:00.171307,541375.9400000001,97447.67,48723.83,48723.83,0.0,True,Paid,Discrepancy Detected,2024-03-20T11:00:00.171307,Manager Admin,0
41,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2404-745,2024-04-05T09:00:00.171307,1135198.09,204335.66,102167.83,102167.83,0.0,True,Paid,Verified,2024-04-05T11:00:00.171307,Manager Admin,0
42,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2404-869,2024-04-20T09:00:00.171307,1885380.2399999998,339368.44,169684.22,169684.22,0.0,True,Paid,Verified,2024-04-20T11:00:00.171307,Manager Admin,0
43,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2405-784,2024-05-05T09:00:00.171307,2313977.36,416515.92,208257.96,208257.96,0.0,True,Paid,Verified,2024-05-05T11:00:00.171307,Manager Admin,0
44,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2405-140,2024-05-20T09:00:00.171307,1172114.4600000002,210980.6,105490.3,105490.3,0.0,True,Pending,Verified,2024-05-20T11:00:00.171307,Manager Admin,0
45,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2406-649,2024-06-05T09:00:00.171307,1963876.1400000006,353497.71,176748.86,176748.86,0.0,True,Paid,Verified,2024-06-05T11:00:00.171307,Manager Admin,0
46,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2406-604,2024-06-20T09:00:00.171307,1410885.67,253959.42,126979.71,126979.71,0.0,True,Paid,Verified,2024-06-20T11:00:00.171307,Manager Admin,0
47,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2407-970,2024-07-05T09:00:00.171307,2311420.67,416055.72,208027.86,208027.86,0.0,True,Paid,Verified,2024-07-05T11:00:00.171307,Manager Admin,0
48,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2407-201,2024-07-20T09:00:00.171307,397285.23,71511.34,35755.67,35755.67,0.0,True,Pending,Verified,2024-07-20T11:00:00.171307,Manager Admin,0
49,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2408-450,2024-08-05T09:00:00.171307,707250.3,127305.05,63652.53,63652.53,0.0,True,Paid,Discrepancy Detected,2024-08-05T11:00:00.171307,Manager Admin,0
50,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2408-629,2024-08-20T09:00:00.171307,2040629.2099999997,367313.26,183656.63,183656.63,0.0,True,Paid,Verified,2024-08-20T11:00:00.171307,Manager Admin,0
51,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2409-226,2024-09-05T09:00:00.171307,1400776.03,252139.69,126069.85,126069.85,0.0,True,Paid,Discrepancy Detected,2024-09-05T11:00:00.171307,Manager Admin,0
52,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2409-664,2024-09-20T09:00:00.171307,383713.76,69068.48,34534.24,34534.24,0.0,True,Paid,Verified,2024-09-20T11:00:00.171307,Manager Admin,0
53,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2410-791,2024-10-05T09:00:00.171307,1320867.91,237756.22,118878.11,118878.11,0.0,True,Paid,Verified,2024-10-05T11:00:00.171307,Manager Admin,0
54,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2410-402,2024-10-20T09:00:00.171307,1155684.3800000001,208023.19,104011.6,104011.6,0.0,True,Paid,Verified,2024-10-20T11:00:00.171307,Manager Admin,0
55,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2411-449,2024-11-05T09:00:00.171307,2009426.3800000001,361696.75,180848.38,180848.38,0.0,True,Paid,Verified,2024-11-05T11:00:00.171307,Manager Admin,0
56,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2411-112,2024-11-20T09:00:00.171307,2852136.27,513384.53,256692.27,256692.27,0.0,True,Paid,Discrepancy Detected,2024-11-20T11:00:00.171307,Manager Admin,0
57,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2412-105,2024-12-05T09:00:00.171307,2766280.5400000005,497930.5,248965.25,248965.25,0.0,True,Paid,Verified,2024-12-05T11:00:00.171307,Manager Admin,0
58,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2412-615,2024-12-20T09:00:00.171307,149501.09000000003,26910.2,13455.1,13455.1,0.0,True,Paid,Discrepancy Detected,2024-12-20T11:00:00.171307,Manager Admin,0
59,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2501-912,2025-01-05T09:00:00.171307,1391530.69,250475.52,125237.76,125237.76,0.0,True,Paid,Verified,2025-01-05T11:00:00.171307,Manager Admin,0
60,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2501-191,2025-01-20T09:00:00.171307,1516949.5799999998,273050.92,136525.46,136525.46,0.0,True,Paid,Verified,2025-01-20T11:00:00.171307,Manager Admin,0
61,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2502-650,2025-02-05T09:00:00.171307,925738.93,166633.01,83316.51,83316.51,0.0,True,Paid,Verified,2025-02-05T11:00:00.171307,Manager Admin,0
62,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2502-278,2025-02-20T09:00:00.171307,698369.31,125706.48,62853.24,62853.24,0.0,True,Paid,Verified,2025-02-20T11:00:00.171307,Manager Admin,0
63,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2503-203,2025-03-05T09:00:00.171307,1773055.7999999998,319150.04,159575.02,159575.02,0.0,True,Pending,Verified,2025-03-05T11:00:00.171307,Manager Admin,0
64,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2503-549,2025-03-20T09:00:00.171307,276914.30999999994,49844.58,24922.29,24922.29,0.0,True,Paid,Verified,2025-03-20T11:00:00.171307,Manager Admin,0
65,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2504-775,2025-04-05T09:00:00.171307,3862099.5799999996,695177.92,347588.96,347588.96,0.0,True,Paid,Verified,2025-04-05T11:00:00.171307,Manager Admin,0
66,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2504-398,2025-04-20T09:00:00.171307,2310469.3899999997,415884.49,207942.24,207942.24,0.0,True,Paid,Verified,2025-04-20T11:00:00.171307,Manager Admin,0
67,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2505-861,2025-05-05T09:00:00.171307,1203253.7200000002,216585.67,108292.84,108292.84,0.0,True,Paid,Verified,2025-05-05T11:00:00.171307,Manager Admin,0
68,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2505-604,2025-05-20T09:00:00.171307,2495757.32,449236.32,224618.16,224618.16,0.0,True,Paid,Verified,2025-05-20T11:00:00.171307,Manager Admin,0
69,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2506-451,2025-06-05T09:00:00.171307,409248.67000000004,73664.76,36832.38,36832.38,0.0,True,Paid,Verified,2025-06-05T11:00:00.171307,Manager Admin,0
70,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2506-965,2025-06-20T09:00:00.171307,2157345.6999999997,388322.23,194161.11,194161.11,0.0,True,Paid,Verified,2025-06-20T11:00:00.171307,Manager Admin,0
71,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2507-389,2025-07-05T09:00:00.171307,1150946.92,207170.45,103585.23,103585.23,0.0,True,Paid,Verified,2025-07-05T11:00:00.171307,Manager Admin,0
72,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2507-365,2025-07-20T09:00:00.171307,1464744.7299999997,263654.05,131827.02,131827.02,0.0,True,Paid,Verified,2025-07-20T11:00:00.171307,Manager Admin,0
73,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2508-600,2025-08-05T09:00:00.171307,1702062.56,306371.26,153185.63,153185.63,0.0,True,Paid,Verified,2025-08-05T11:00:00.171307,Manager Admin,0
74,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2508-453,2025-08-20T09:00:00.171307,2206647.83,397196.61,198598.3,198598.3,0.0,True,Paid,Verified,2025-08-20T11:00:00.171307,Manager Admin,0
75,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2509-671,2025-09-05T09:00:00.171307,2718395.6199999996,489311.21,244655.61,244655.61,0.0,True,Paid,Verified,2025-09-05T11:00:00.171307,Manager Admin,0
76,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2509-522,2025-09-20T09:00:00.171307,1670815.7300000002,300746.83,150373.42,150373.42,0.0,True,Paid,Verified,2025-09-20T11:00:00.171307,Manager Admin,0
77,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2510-927,2025-10-05T09:00:00.171307,1333243.97,239983.91,119991.96,119991.96,0.0,True,Pending,Verified,2025-10-05T11:00:00.171307,Manager Admin,0
78,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2510-368,2025-10-20T09:00:00.171307,842956.69,151732.2,75866.1,75866.1,0.0,True,Paid,Verified,2025-10-20T11:00:00.171307,Manager Admin,0
79,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2511-936,2025-11-05T09:00:00.171307,4025913.52,724664.43,362332.22,362332.22,0.0,True,Paid,Verified,2025-11-05T11:00:00.171307,Manager Admin,0
80,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2511-118,2025-11-20T09:00:00.171307,3025169.6600000006,544530.54,272265.27,272265.27,0.0,True,Paid,Verified,2025-11-20T11:00:00.171307,Manager Admin,0
81,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2512-348,2025-12-05T09:00:00.171307,567475.13,102145.52,51072.76,51072.76,0.0,True,Paid,Verified,2025-12-05T11:00:00.171307,Manager Admin,0
82,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2512-504,2025-12-20T09:00:00.171307,2294733.08,413051.95,206525.98,206525.98,0.0,True,Pending,Verified,2025-12-20T11:00:00.171307,Manager Admin,0
83,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2601-185,2026-01-05T09:00:00.171307,1372805.8099999996,247105.05,123552.52,123552.52,0.0,True,Paid,Verified,2026-01-05T11:00:00.171307,Manager Admin,0
84,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2601-246,2026-01-20T09:00:00.171307,3215596.759999999,578807.42,289403.71,289403.71,0.0,True,Paid,Verified,2026-01-20T11:00:00.171307,Manager Admin,0
85,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2602-911,2026-02-05T09:00:00.171307,3262097.7,587177.59,293588.79,293588.79,0.0,True,Paid,Verified,2026-02-05T11:00:00.171307,Manager Admin,0
86,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2602-877,2026-02-20T09:00:00.171307,760203.07,136836.55,68418.27,68418.27,0.0,True,Paid,Verified,2026-02-20T11:00:00.171307,Manager Admin,0
87,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2603-846,2026-03-05T09:00:00.171307,648806.6300000002,116785.19,58392.6,58392.6,0.0,True,Paid,Verified,2026-03-05T11:00:00.171307,Manager Admin,0
88,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2603-545,2026-03-20T09:00:00.171307,1699612.84,305930.31,152965.15,152965.15,0.0,True,Paid,Verified,2026-03-20T11:00:00.171307,Manager Admin,0
89,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2604-744,2026-04-05T09:00:00.171307,2373658.4599999995,427258.52,213629.26,213629.26,0.0,True,Paid,Verified,2026-04-05T11:00:00.171307,Manager Admin,0
90,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2604-330,2026-04-20T09:00:00.171307,2230565.93,401501.87,200750.93,200750.93,0.0,True,Paid,Verified,2026-04-20T11:00:00.171307,Manager Admin,0
91,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2605-369,2026-05-05T09:00:00.171307,2576933.23,463847.98,231923.99,231923.99,0.0,True,Paid,Verified,2026-05-05T11:00:00.171307,Manager Admin,0
92,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2605-477,2026-05-20T09:00:00.171307,1386993.7699999998,249658.88,124829.44,124829.44,0.0,True,Paid,Verified,2026-05-20T11:00:00.171307,Manager Admin,0
93,Metro Garment Industries,27SUPPLIER123A1Z,SUP-2606-305,2026-06-05T09:00:00.171307,2272439.0100000002,409039.02,204519.51,204519.51,0.0,True,Paid,Verified,2026-06-05T11:00:00.171307,Manager Admin,0
94,Saras Essentials Wholesale,27SUPPLIER123A1Z,SUP-2606-561,2026-06-20T09:00:00.171307,1483621.6,267051.89,133525.95,133525.95,0.0,True,Paid,Discrepancy Detected,2026-06-20T11:00:00.171307,Manager Admin,0
95,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2607-494,2026-07-05T09:00:00.171307,131834.76,23730.26,11865.13,11865.13,0.0,True,Paid,Verified,2026-07-05T11:00:00.171307,Manager Admin,0
96,Apex Tech Distributors,27SUPPLIER123A1Z,SUP-2607-109,2026-07-20T09:00:00.171307,2444337.62,439980.77,219990.39,219990.39,0.0,True,Paid,Verified,2026-07-20T11:00:00.171307,Manager Admin,0
